t_index	term	df
1037	bhakta	1
1038	bharatiya	3
1039	bharpi	3
1040	bhaskar	5
1041	bhat	1
1042	bhatt	1
1043	bhavesh	1
1044	bhowmik	1
1045	bhug	1
1046	bhuj	33
1047	bia	1
1048	biafran	2
1049	biarritz	3
1050	bias	8
1051	bibl	4
1052	biblic	1
1053	bicker	3
1054	bicycl	5
1055	bid	50
1056	bidanora	1
1057	big	76
1058	bigger	8
1059	biggest	39
1060	bigot	1
1061	bihari	10
1062	bilater	8
1063	bilingu	1
1064	bill	68
1065	billboard	2
1066	billet	1
1067	billi	4
1068	billion	59
1069	billionair	9
1070	billow	13
1071	biltera	1
1072	bimal	2
1073	bin	87
1074	bind	5
1075	bindra	3
1076	bingaman	2
1077	bingo	1
1078	binocular	5
1079	bio	1
1080	biogeneticist	1
1081	biograph	3
1082	biographi	4
1083	biolog	4
1084	bion	1
1085	bipartisan	2
1086	bipartisanship	1
1087	bird	3
1088	birger	1
1089	birth	9
1090	birthday	6
1091	birthmark	1
1092	birthplac	1
1093	biscuit	3
1094	bishop	2
1095	bit	46
1096	bite	2
1097	biter	1
1098	bitka	1
1099	bitten	1
1100	bitter	20
1101	bitterli	10
1102	bittersweet	2
1103	biw	1
1104	bizarr	10
1105	bjorn	1
1106	black	58
1107	blacken	4
1108	blackmail	5
1109	blackout	4
1110	blade	1
1111	blair	15
1112	blakemor	1
1113	blame	56
1114	blanchard	1
1115	blanco	7
1116	bland	1
1117	blanda	1
1118	blank	3
1119	blanket	35
1120	blankli	2
1121	blare	1
1122	blast	109
1123	blatant	2
1124	blaze	6
1125	bleach	1
1126	bleacher	1
1127	bleak	1
1128	bled	1
1129	bleed	2
1130	blemish	1
1131	blend	4
1132	bless	9
1133	blew	42
1134	blind	8
1135	blindli	5
1136	blink	3
1137	blister	2
1138	blitz	1
1139	blitzer	1
1140	blizzard	5
1141	bloat	4
1142	bloc	7
1143	block	83
1144	blockad	15
1145	blocker	1
1146	blocki	1
1147	blokosso	1
1148	blond	6
1149	blood	34
1150	bloodbath	2
1151	bloodi	8
1152	bloodiest	1
1153	bloodless	2
1154	bloodsh	9
1155	bloodstain	1
1156	bloomberg	1
1157	bloomer	1
1158	blous	1
1159	blow	25
1160	blown	11
1161	blowtorch	1
1162	blue	46
1163	blueprint	11
1164	bluf	5
1165	blunk	1
1166	blunt	2
1167	bluntli	2
1168	blur	2
1169	blurb	1
1170	blusteri	1
1171	blvd	1
1172	bnaibrith	1
1173	bo	5
1174	board	63
1175	boarder	5
1176	boardwalk	1
1177	boast	3
1178	boat	117
1179	boater	1
1180	boatmen	1
1181	bob	24
1182	bobbi	6
1183	bobic	1
1184	bodi	188
1185	bodien	1
1186	bodin	9
1187	bodon	1
1188	bodyguard	10
1189	boe	2
1190	bog	2
1191	boga	1
1192	bogg	1
1193	bogu	4
1194	bohdan	2
1195	boigni	6
1196	boil	1
1197	boister	1
1198	bojic	1
1199	bold	3
1200	boldli	1
1201	bolivia	1
1202	bolona	2
1203	bolster	12
1204	bolt	1
1205	bomb	259
1206	bombard	2
1207	bombay	5
1208	bomber	57
1209	bombet	2
1210	bombey	1
1211	bombmak	4
1212	bombshel	1
1213	bond	17
1214	bondjump	1
1215	bone	53
1216	bonecardi	1
1217	bonfir	3
1218	bonilla	1
1219	bonni	1
1220	bono	1
1221	bonu	1
1222	boo	3
1223	boobi	3
1224	book	26
1225	bookend	1
1226	boom	7
1227	boost	14
1228	booster	1
1229	boot	5
1230	booth	8
1231	bor	1
1232	border	53
1233	bore	3
1234	borg	1
1235	bori	7
1236	borisav	1
1237	borislav	3
1238	borisov	1
1239	borivoj	1
1240	bork	1
1241	borka	1
1242	born	47
1243	borneo	4
1244	borotra	1
1245	borrow	2
1246	borzon	1
1247	bosnia	16
1248	bosnian	5
1249	boss	10
1250	boston	18
1251	botch	5
1252	bother	9
1253	bottl	5
1254	bottom	28
1255	bouak	1
1256	boucher	8
1257	bouffard	1
1258	bought	10
1259	boulevard	1
1260	bounc	7
1261	bound	15
1262	boundari	2
1263	bounti	1
1264	bout	5
1265	bow	11
1266	bowel	2
1267	bowen	2
1268	bowl	1
1269	bowman	1
1270	bowmen	1
1271	bowrey	1
1272	box	17
1273	boxer	1
1274	boy	35
1275	boycot	26
1276	boycott	18
1277	boyd	1
1278	boyfriend	4
1279	bozov	3
1280	braca	2
1281	brace	4
1282	braci	1
1283	bracket	1
1284	brad	6
1285	bradi	1
1286	bradman	1
1287	bradshaw	1
1288	brag	4
1289	brain	2
1290	brainwash	3
1291	brake	1
1292	branch	9
1293	brand	6
1294	brandish	6
1295	brandon	1
1296	brash	2
1297	brass	4
1298	brave	6
1299	bravent	1
1300	braveri	2
1301	bravo	4
1302	brazen	1
1303	brazil	2
1304	brazilian	1
1305	breach	3
1306	bread	1
1307	breadbasket	2
1308	break	111
1309	breakaway	2
1310	breakdown	3
1311	breaker	1
1312	breakfast	6
1313	breakout	9
1314	breakthrough	12
1315	breakup	3
1316	breast	4
1317	breath	6
1318	breaux	1
1319	breed	5
1320	breez	6
1321	breme	1
1322	bremer	1
1323	brenton	2
1324	brevant	1
1325	brew	3
1326	brewer	1
1327	brian	15
1328	bribe	40
1329	briberi	10
1330	brick	12
1331	bride	1
1332	bridg	19
1333	bridgett	1
1334	brie	6
1335	brief	63
1336	briefli	24
1337	brien	1
1338	brig	1
1339	brigad	3
1340	bright	11
1341	brighten	2
1342	brighter	1
1343	brightest	2
1344	brightli	1
1345	brilliant	3
1346	brim	1
1347	bring	126
1348	brink	6
1349	brisk	1
1350	briskli	3
1351	bristl	3
1352	britain	37
1353	british	56
1354	briton	3
1355	broad	14
1356	broadcast	59
1357	broaden	2
1358	broader	9
1359	broadli	3
1360	broder	1
1361	brokaw	1
1362	broke	91
1363	broken	49
1364	broker	7
1365	brokerag	1
1366	bronco	1
1367	bronxvil	1
1368	bronz	2
1369	brood	1
1370	brook	3
1371	brooklyn	1
1372	broom	1
1373	brother	73
1374	brought	116
1375	brow	2
1376	brown	18
1377	broz	1
1378	bruce	1
1379	bruis	7
1380	brunei	22
1381	brunswick	1
1382	brunt	4
1383	brush	7
1384	brussel	6
1385	brutal	16
1386	bryan	4
1387	bryann	1
1388	bryant	1
1389	bt	1
1390	bu	18
1391	bubbl	2
1392	buccan	1
1393	buchanan	7
1394	buck	9
1395	bucket	4
1396	buckl	13
1397	bud	3
1398	budapest	1
1399	buddhist	1
1400	buddi	1
1401	budget	9
1402	budnev	1
1403	budor	1
1404	budsmen	1
1405	budva	1
1406	bueni	1
1407	buf	4
1408	buff	4
1409	buffalo	3
1410	buffer	1
1411	bug	5
1412	bugss	1
1413	build	170
1414	builder	6
1415	buildup	2
1416	built	29
1417	bulatov	7
1418	bulg	1
1419	bulgaria	3
1420	bulk	4
1421	bulkhead	4
1422	bulki	1
1423	bulldoz	25
1424	bullet	10
1425	bulletin	3
1426	bulletproof	3
1427	bulli	3
1428	bullzdoz	1
1429	bum	1
1430	bump	2
1431	bumper	4
1432	bumpi	1
1433	bunch	5
1434	bundl	1
1435	bungl	6
1436	bunk	5
1437	bunker	7
1438	bunkroom	1
1439	bunt	1
1440	buoy	7
1441	buraika	1
1442	burch	1
1443	burden	7
1444	bureau	33
1445	bureaucraci	4
1446	bureaucrat	7
1447	burglar	7
1448	burglari	8
1449	burgsmul	2
1450	buri	85
1451	burial	13
1452	burk	6
1453	burkhard	1
1454	burkina	8
1455	burkinab	1
1456	burkl	5
1457	burli	4
